Code,Title,Description
priceOfGoodsProvisionOfService,Price Of Goods/Provision Of Service,Applicable to aquisitionInitialCapitalExpedinture Criterion\n
commissioningCosts,Commissioning Costs,Applicable to aquisitionInitialCapitalExpedinture Criterion\n
owningOperatingReccurentCosts,Owning/Operating/Recurrent Costs,Applicable to owningOperatingReccurentCosts Criterion\n
endOfLifeDisposalExit,End of Life/Disposal/Exit,Applicable to endOfLifeDisposalExit Criterion\n
functionality,Functionality,Applicable to functionality Criterion\n
methodology,Methodology,Applicable to methodology Criterion\n
innovation,Innovation,Applicable to innovation Criterion\n
maintainbility,Maintainbility,Applicable to maintainbility Criterion\n
afterSalesAssistanceAndSupport,After sales assistance and support,Applicable to afterSalesAssistanceAndSupport Criterion\n
security,Security,Applicable to security Criterion\n
sustainabilityConsiderations,Sustainability Considerations,Applicable to sustainabilityConsiderations Criterion\n
